gene	cell_logFC	cell_FDR	pct_cluster2	pct_cluster0	pb_logFC	pb_FDR	pb_AveExpr	pb_t	pb_P	direction_concordant	cell_sig	pb_sig	both_sig	both_sig_same_direction
ZNF438	0.103327859068147	1.724922794282e-45	0.305	0.163	0.187094636833909	0.068425018501163	7.11776899191493	2.40781920149233	0.019056393828939	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF439	0.00012446276425826	4.79666574965056e-28	0.15	0.074							TRUE	FALSE	FALSE	FALSE
ZNF44	0.0660945350265407	2.27844341258952e-44	0.203	0.096	0.125080261683637	0.267582276290592	6.2270611925658	1.55893464962431	0.124134700477579	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF440	0.0578344020649703	3.5904668069453e-19	0.071	0.031							TRUE	FALSE	FALSE	FALSE
ZNF444	-0.0183918008593026	1.37237878276513e-11	0.075	0.039							TRUE	FALSE	FALSE	FALSE
ZNF445	0.00762795732783012	8.23811193422241e-37	0.153	0.069							TRUE	FALSE	FALSE	FALSE
ZNF449	0.00169372305346446	6.21288764164525e-11	0.064	0.032							TRUE	FALSE	FALSE	FALSE
ZNF451	0.00266116734808453	1.76598593121333e-36	0.335	0.189	-0.0546147985888127	0.608159714661329	7.21791583077144	-0.788692503826502	0.433316434998547	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF467	-0.00122540834365156	7.41621460514155e-15	0.068	0.031							TRUE	FALSE	FALSE	FALSE
ZNF471	-0.0293639095998716	0.00405996948394975	0.051	0.031							TRUE	FALSE	FALSE	FALSE
ZNF480	-0.0267435044907869	8.95645558967588e-09	0.067	0.036							TRUE	FALSE	FALSE	FALSE
ZNF483	-0.174679071943987	3.04814320388481e-05	0.214	0.149	-0.164489413834756	0.301337475119981	5.91335281003543	-1.46750555671068	0.147325666871972	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF484	-0.0382049164995843	7.79963763788321e-07	0.066	0.037							TRUE	FALSE	FALSE	FALSE
ZNF490	0.05092946123029	2.637741893651e-35	0.169	0.081	0.0345715128184659	0.823974642122257	5.93110586771114	0.36502629082883	0.716341981464526	TRUE	TRUE	FALSE	FALSE	FALSE
