Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
37	RUNX 20019798 ChIP-Seq JUKART Human	1.395853070700483e-06	5.894402392299785	79.46836140139395	MBNL1;CEBPB;PRKCH;TCF12;FOXN3;PHC3;TGFBR1;APBB1IP;PTPRC;CHST11;GNAQ;MAML3;PAG1	2.6804487799806495e-05	0	0	ChEA_2022	primary_candidate	RUNX	4.57179248718305
38	TAL1 30185409 ChIP-Seq HPC Mouse BoneMarrow Leukemia	1.432588658780094e-06	3.2512281802027805	43.74861579939458	B4GALT1;USP53;DOCK8;FAM13A;PTPRJ;ARHGAP15;CALCR;RAP1A;CHST11;ST8SIA4;TBC1D12;SOCS6;RREB1;PAG1;MEF2A;MBNL1;PLA2G4A;FOXN3;GAB2;TGFBR1;MED13L;ZEB2;CDK6;GNAQ;ELMO1;BMP2K;PICALM;TLR2	2.6804487799806495e-05	0	0	ChEA_2022	primary_candidate	TAL1	4.57179248718305
39	NR3C1 34362910 ChIP-Seq WistarRat Hippocampus Stress	2.3380419618952215e-06	4.883709103237837	63.323133089169765	PRKCH;FAM13A;PLA2G4A;PTPRJ;APBB1IP;ZEB2;SPRED1;CDK6;MGAT4A;SLC9A9;ELMO1;HCLS1;CPVL;ANKS1A;SRGAP2	4.262430345916673e-05	0	0	ChEA_2022	primary_candidate	NR3C1	4.370342704921721
40	TCF7L2 21901280 ChIP-Seq H4IIE Rat	2.4052443045185685e-06	4.601529107218108	59.5339351308706	RBM47;WSB1;B4GALT1;DOCK8;PTPRJ;ETV6;MKLN1;SPRED1;CDK6;GNAQ;MGAT4A;ELMO1;PDK4;SRGAP2;PIK3AP1;RIN2	4.2753217512817554e-05	0	0	ChEA_2022	primary_candidate	TCF7L2	4.369031195661419
41	P300 19829295 ChIP-Seq ESCs Human	2.867576378632567e-06	3.484975241181479	44.475405109760295	LYN;MBNL1;BNC2;CCNH;WNT5A;TCF12;ARHGAP15;PLXDC2;PHC3;SAMSN1;ARHGAP24;FGD4;MKLN1;ZEB2;PTPRC;B3GNT5;SLC9A9;ELMO1;ST8SIA4;PELI1;MAML3;CPVL;ST6GALNAC3	4.9727970858725736e-05	0	0	ChEA_2022	primary_candidate	P300	4.303399261717658
42	AR 25329375 ChIP-Seq VCAP Human	3.0928257937294895e-06	3.564981283281489	45.22686906210276	WSB1;BNC2;CCNH;FAM13A;PLA2G4A;PTPRJ;SAMSN1;ARHGAP24;MED13L;ETV6;FGD4;ELMO1;PDK4;BLNK;TAB2;MAML3;DIP2B;CPVL;SRGAP2;ST6GALNAC3;SOCS6;RIN2	5.235712236527778e-05	0	0	ChEA_2022	primary_candidate	AR	4.281024231014026
43	TP63 23658742 ChIP-Seq EP156T Human	3.1743439717107858e-06	2.882632293080054	36.4953054702526	RBM47;B4GALT1;MAML2;CCNH;NPL;PLD1;SAMSN1;CHST11;BLNK;P2RY12;PRKCH;IFNGR1;ANKRD44;TBC1D9;FOXN3;GAB2;PLXDC2;TGFBR1;ETV6;MKLN1;FAM135A;CDK6;GNAQ;B3GNT5;SLC9A9;BMP2K;PELI1;HCLS1;TAB2;WDFY4;RIN2;RHOQ;PICALM	5.248740846247369e-05	0	0	ChEA_2022	primary_candidate	TP63	4.279944869758666
44	PPARG 20176806 ChIP-Seq 3T3-L1 Mouse	3.291421385599541e-06	3.6584156556361043	46.18453819311748	MBNL1;PRKCH;RNF13;ANKRD44;WNT5A;FAM13A;PLA2G4A;TBC1D9;PLD1;FBXO11;SAMSN1;ARHGAP24;ETV6;MKLN1;ZEB2;CHST11;PDK4;DIP2B;CPVL;PIK3AP1;RREB1	5.3186377390028945e-05	0	0	ChEA_2022	primary_candidate	PPARG	4.274199589169899
45	SPI1 23127762 ChIP-Seq K562 Human	3.956837550450934e-06	3.867278526329493	48.109197981376376	LYN;PHC2;MBNL1;RBM47;PRKCH;DOCK8;FAM13A;TCF12;RANBP9;PTPRJ;PHC3;SAMSN1;ARHGAP24;MKLN1;SCIN;ELMO1;SRGAP2;WDFY4;RHOQ	6.251803329712476e-05	0	0	ChEA_2022	primary_candidate	SPI1	4.203994692547297
46	SOX9 26525672 Chip-Seq HEART Mouse	5.5799280045013614e-06	3.6397576231430806	44.02772637844622	DOCK4;MBNL1;WSB1;BNC2;ANKRD44;KCNK13;RANBP9;FOXN3;PLXDC2;PLD1;SAMSN1;MED13L;FAM135A;CHST11;PELI1;HNRNPC;MAML3;IL6ST;SRGAP2;SOCS6	8.6246278504358e-05	0	0	ChEA_2022	primary_candidate	SOX9	4.064259635499801
47	SOX9 24532713 ChIP-Seq HFSC Mouse	6.937600656433329e-06	3.707916249582916	44.04468551151781	MBNL1;PRKCH;RNF13;DOCK8;FAM13A;RANBP9;PLD1;TGFBR1;MED13L;ETV6;SPRED1;FAM135A;CHST11;SLC9A9;ELMO1;HNRNPC;SRGAP2;ST6GALNAC3;WDFY4	0.00010494966099412971	0	0	ChEA_2022	primary_candidate	SOX9	3.9790189599269032
48	SMAD2/3 21741376 ChIP-Seq EPCs Human	7.67694049791298e-06	3.350842253754875	39.46383916679888	WSB1;MAML2;TBC1D9;PTPRJ;ETV6;FGD4;MKLN1;ZEB2;SPRED1;CALCR;PTPRC;CHST11;GNAQ;ELMO1;ST8SIA4;BMP2K;MAML3;RAF1;SRGAP2;RREB1;PICALM;C1QC	0.00011371468112533603	0	0	ChEA_2022	primary_candidate	SMAD2/3	3.944183462136172
49	AR 35413990 ChIP-Seq Human ARposCRProstateCancer	8.185920945934902e-06	4.968583694383445	58.19749201872128	DOCK4;BNC2;FAM13A;GAB2;FGD4;SPRED1;FAM135A;RAP1A;B3GNT5;RUBCNL;MAML3;DIP2B;RIN2	0.00011877938352162683	0	0	ChEA_2022	primary_candidate	AR	3.9252589330904035
50	FOXM1 26100407 CHIP-SEQ Hek293 Flp-In Human	8.49398356551354e-06	3.3274795943606232	38.85215905432103	MEF2A;UVRAG;MAML2;WNT5A;TCF12;TBC1D9;PTPRJ;ARHGAP15;FBXO11;FGD4;SPRED1;FAM135A;CALCR;TAB2;MAML3;IL6ST;RAF1;ST6GALNAC3;SOCS6;RREB1;RHOQ;PAG1	0.00012078444630160254	0	0	ChEA_2022	primary_candidate	FOXM1	3.9179889872404647
51	SALL4 18804426 ChIP-ChIP XEN Mouse	8.876843022353429e-06	4.608247422680412	53.603431619723544	CEBPB;USP53;DOCK8;KCNK13;RANBP9;GAB2;FGD4;MKLN1;SPRED1;RAP1A;B3GNT5;BMP2K;IL6ST;RHOQ	0.00012375363507633898	0	0	ChEA_2022	primary_candidate	SALL4	3.907442035461794
52	PHOX2B 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma	9.18085711914308e-06	4.331571396209318	50.23925432099733	P2RY12;PHC2;DOCK4;MBNL1;PRKCH;TCF12;FOXN3;MED13L;MKLN1;ZEB2;SCIN;IL6ST;SRGAP2;SOCS6;PICALM	0.00012553056560982173	0	0	ChEA_2022	primary_candidate	PHOX2B	3.9012505143467657
