TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
LMO2	1	0.00017550551924052962	36.63051599065399	ChEA_2022	LMO2 26923725 Chip-Seq HEMANGIOBLAST Mouse	3.7613125683764497
NRF2	1	0.00023242898235870015	41.376615039116125	ChEA_2022	NRF2 31884422 ChIP-Seq A549 Human Lung Carcinoma	7.254881595528002
NR3C2	1	0.00023253649226915896	39.85481597198531	ChEA_2022	NR3C2 34362910 ChIP-Seq WistarRat Hippocampus Stress	6.585343869305463
PRDM14	1	0.00038418183439770483	32.185371934106584	ChEA_2022	PRDM14 20953172 ChIP-Seq ESCs Human	3.415464805511677
EED	1	0.0005984760381237293	40.848585030617805	ChEA_2022	EED 16625203 ChIP-ChIP MESCs Mouse	3.2229532332591853
ARNT	1	0.0006703744190466397	35.22839047592699	ChEA_2022	ARNT 22903824 ChIP-Seq MCF-7 Human	3.1736825663927735
AHR	1	0.001170113858276148	37.29928367293825	ChEA_2022	AHR 22903824 ChIP-Seq MCF-7 Human	2.93177187704427
BCAT	1	0.0011917988287110555	40.26499597649155	ChEA_2022	BCAT 22108803 ChIP-Seq LS180 Human	2.923797045731651
PHC1	1	0.0014972660279556204	32.56421557886686	ChEA_2022	PHC1 16625203 ChIP-ChIP MESCs Mouse	2.8247010291768477
CHD4	1	0.0019268647585901513	20.969015305285826	ChEA_2022	CHD4 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo	2.7151487662263243
ZFP322A	1	0.002590797466618784	104.244783981203	ChEA_2022	ZFP322A 24550733 ChIP-Seq MESCs Mouse	2.5865665362877523
ISL1	1	0.0035142228123919393	26.02140906927338	ChEA_2022	ISL1 30127528 ChIP-Seq BE2C Human Brain Neuroblastoma	5.099174191730722
FOXA2	1	0.004333133525648012	16.872868977197957	ChEA_2022	FOXA2 19822575 ChIP-Seq HepG2 Human	2.363197927961092
TOP2B	1	0.0049853186977332955	18.606262288767752	ChEA_2022	TOP2B 26459242 ChIP-Seq MCF-7 Human	2.302307073211337
FOXM1	1	0.005600246905300877	17.976701182032958	ChEA_2022	FOXM1 26456572 ChIP-Seq MCF-7 Human	2.735078067188271
CEBPD	1	0.007013211167775326	28.519401580657913	ChEA_2022	CEBPD 23245923 ChIP-Seq MEFs Mouse	2.9752341623064646
P53	1	0.00804023153300163	16.823454918455493	ChEA_2022	P53 22387025 ChIP-Seq ESCs Mouse	2.0947347075784424
ESR1	1	0.01358574039397187	15.922824650837464	ChEA_2022	ESR1 22446102 ChIP-Seq UTERUS Mouse	2.1590310917026643
RARB	1	0.015193874672693338	14.073836134154277	ChEA_2022	RARB 27405468 Chip-Seq BRAIN Mouse	1.8183330916138745
EBF1	1	0.018384685909157615	13.629089763379609	ChEA_2022	EBF1 22473956 ChIP-Seq BONE MARROW Mouse	2.556694863389084
NR4A2	1	0.022323804240728724	36.84351803987771	ChEA_2022	NR4A2 19515692 ChIP-ChIP MN9D Mouse	1.6512317945026294
KLF1	1	0.02294382838951019	15.12772192136048	ChEA_2022	KLF1 20508144 ChIP-Seq FETAL-LIVER-ERYTHROID Mouse	1.6393341143459534
HTT	1	0.02379335126709846	22.938238624341903	ChEA_2022	HTT 18923047 ChIP-ChIP STHdh Human	1.6235443837590724
POU2F1	1	0.02786906370032707	18.900130766934684	ChEA_2022	POU2F1 35413990 ChIP-Seq Human ARnegCRProstateCancer	1.5548825159668374
CBP	1	0.030060139195956487	11.516963313506674	ChEA_2022	CBP 21632823 ChIP-Seq H3396 Human	1.7720978530024
