TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
IRF1	2	0.2726061526542525	4.071080917187088	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	IRF1 21803131 ChIP-Seq MONOCYTES Human	1.1481162546713002
CHD1	2	0.31726868076522957	2.288820258909064	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	CHD1 26751641 Chip-Seq LNCaP Human	0.835079872561616
REST	2	0.35813112304425404	1.9619900448355465	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	REST 18959480 ChIP-ChIP MESCs Mouse	1.1704381037345986
RAD21	2	0.37358208266109133	1.8749312028860379	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	RAD21 21589869 ChIP-Seq MESCs Mouse	0.48662097490552725
HIF1A	2	0.3750027013935055	2.627098856469418	ChEA_2022;TRRUST_Transcription_Factors_2019	HIF1A human	0.7454806386664588
GABPA	2	0.47672634858035273	1.7311435435085258	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GABPA 29892750 ChIP-Seq EML Mouse BoneMarrow	0.3218935381627789
BCL3	2	0.7776026563936249	1.3648215048179724	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	BCL3 23251550 ChIP-Seq MUSCLE Mouse	0.19852441865063836
SRF	2	0.8141751555795472	1.0992866947737296	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SRF ENCODE	0.09746219953217698
AF4	1	1.3333208675236443e-14	233.57865007452273	ChEA_2022	AF4 26711339 ChIP-Seq SEM Human Blood Leukemia	20.844776760899716
ENL	1	2.9611978426585575e-14	269.44819609068196	ChEA_2022	ENL 26711339 ChIP-Seq SEM Human Blood Leukemia	13.528532575689209
SMRT	1	4.478266548992997e-13	226.71701331187808	ChEA_2022	SMRT 22465074 ChIP-Seq MACROPHAGES Mouse	14.617137847309603
SMARCA4	1	1.7789761796339995e-12	187.22415232475333	ChEA_2022	SMARCA4 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	15.493705725304627
MECOM	1	7.664421275798571e-10	142.39983057307313	ChEA_2022	MECOM 23826213 ChIP-Seq KASUMI Mouse	9.115520632227211
MEIS1	1	1.0534644998790343e-09	139.15864626661804	ChEA_2022	MEIS1 26253404 ChIP-Seq OPTIC CUPS Mouse	11.210179539090495
ZNF217	1	1.4806838925569107e-09	141.98213276914308	ChEA_2022	ZNF217 24962896 ChIP-Seq MCF-7 Human	8.82953764800908
WT1	1	5.519365585549737e-09	94.98650188264854	ChEA_2022	WT1 25993318 ChIP-Seq PODOCYTE Human	10.078726166079086
