TF	reference_n_libs	reference_best_adjP	reference_aggregate_score	pooledDown_n_libs	pooledDown_best_adjP	pooledDown_aggregate_score	joint_score
OCT4	1	0.3961968365650067	0.6230155355431569	1	0.23693046530428746	1.8308705664862956	2.4538861020294527
LEF1	2	0.25229945212410415	1.3371620236058626	1	0.07695228425025613	1.1137784840513776	2.45094050765724
MNX1	1	0.09235829162393384	1.03452410894196	1	0.04055363996122327	1.3919701588602948	2.426494267802255
CMYC	1	0.03968045508401888	1.4014233556875955	1	0.10576487115755528	0.9756585553231725	2.3770819110107677
MYCN	2	0.2959799917302196	1.0606243933330548	1	0.3656979346298988	1.3159626228870014	2.376587016220056
CBP	1	0.030060139195956487	1.7720978530024	1	0.28775246249924374	0.5798824222107556	2.3519802752131556
YY1	2	0.13578270215667662	0.8671620853067825	3	0.39358727585506464	1.4841446964250897	2.3513067817318722
STAT1	1	0.2641624710700431	0.5781321443183474	2	0.15823566228994307	1.6827110299064385	2.260843174224786
DMRT1	1	0.0460876578907572	1.3364153615427647	1	0.12777088365951766	0.8935681016288683	2.2299834631716333
SA1	1	0.09741149690151366	1.0113930456948643	1	0.16671882404010516	1.145960504749891	2.157353550444755
TBL1	1	0.05812235279746826	1.2356568137429802	1	0.12960526737475234	0.887377347652905	2.123034161395885
TFAP2C	1	0.2641624710700431	0.5781288815166818	1	0.03184572747222473	1.4969488257996943	2.0750777073163764
TRIM28	1	0.19660875574612882	0.827478568711453	2	0.22071460691651446	1.132299805254135	1.959778373965588
TP63	2	0.5646663687259385	0.2509502036976299	2	0.10264287237822603	1.7080829788951615	1.9590331825927914
PIAS1	1	0.04814191912291585	1.3174766010597494	1	0.2716495343565098	0.5659910350682197	1.883467636127969
ERG	1	0.0663418779935993	1.1782155015164057	1	0.23689665224314413	0.6673466669155733	1.8455621684319792
HTT	1	0.02379335126709846	1.6235443837590724	1	0.617305875412832	0.2094995894718526	1.833043973230925
SIN3B	1	0.8596177135184431	0.06569464389714438	1	0.017810496874014353	1.7493239644989924	1.8150186083961368
RCOR3	1	0.08721164708913673	1.059425511297223	1	0.18497899559291084	0.7328775830347323	1.7923030943319553
LDB1	1	0.20847715019811291	0.6809415382282535	2	0.24731364312350507	1.086394227734032	1.7673357659622855
NR4A2	1	0.022323804240728724	1.6512317945026294	1	0.7764153605960068	0.1099058811197202	1.7611376756223496
CJUN	1	0.18958591071926095	0.7221939408599753	1	0.0977897045926789	1.009706865804921	1.7319008066648964
NR1I2	1	0.0663418779935993	1.1782122387147405	1	0.30833226145248716	0.5109810317516976	1.689193270466438
MITF	1	0.16892452175842387	0.7723073019307158	1	0.12138608837245195	0.9158310833536486	1.6881383852843643
PPARG	2	0.9477680528464324	0.023306098342110955	2	0.23484539436367596	1.66380965329414	1.687115751636251
KLF5	1	0.20828619763630826	0.7746937494142313	1	0.286599190501658	0.9006833495771782	1.6753770989914094
CEBPA	2	0.23008021550749003	0.6381239873113687	2	0.3723273260644503	1.0344383583497025	1.6725623456610712
SALL4	2	0.135491959032593	0.9941015698194775	2	0.5185066653152237	0.6780940885847577	1.6721956584042352
MEF2A	1	0.9477680528464324	0.02329793449116831	2	0.24731364312350507	1.6464856157367054	1.6697835502278737
EGR1	2	0.6474688027541584	0.20088604078219607	2	0.11625737930712042	1.44671309023762	1.647599131019816
ETS1	1	0.6732925228096913	0.17179783992490044	2	0.10264287237822603	1.4708376696558272	1.6426355095807277
CDKN2AIP	1	0.06109901502141071	1.21396579097208	1	0.38559628268355184	0.4138671615373674	1.6278329525094475
PBX1	2	0.1396682237760436	1.5581400338370202	1	0.8834057549341923	0.05383977586320333	1.6119798097002236
DROSHA	1	0.20847715019811291	0.6809415382282535	1	0.12138608837245195	0.9158310833536486	1.596772621581902
LUZP1	1	0.5599937769217813	0.2518167991787062	1	0.04881280275029655	1.3114662551576168	1.563283054336323
FOSL1	2	0.1808872677079519	0.9008685151336973	1	0.22071460691651446	0.6561689242315405	1.5570374393652378
PU	1	0.9999962435678172	1.631400832739695e-06	1	0.029325354301095143	1.5327567321508462	1.5327583635516788
