Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
495	TCF21 23034159 ChIP-ChIP E13 GONADS Rat	0.1527070307118959	6.337168424416746	11.909022526412445	KLF6	0.22505814405321756	0	0	ChEA_2022	pooled_ASD_up	TCF21	0.6477052668695693
496	NR3C1 32051336 ChIP-Seq MLEC Mouse Epithelium	0.1527070307118959	6.337168424416746	11.909022526412445	RALGPS2	0.22505814405321756	0	0	ChEA_2022	pooled_ASD_up	NR3C1	0.6477052668695693
497	E2F1 17053090 ChIP-ChIP MCF-7 Human	0.15383660459236503	1.392946343984153	2.60740646204806	STARD13;RUNX1;CNDP2;GNA13;DOCK11;RAB31;HSPH1;SEC14L1;VAPA;CHSY1;WNK1;PAPOLA;ZCCHC2;GAS7	0.2262667162113055	0	0	ChEA_2022	pooled_ASD_up	E2F1	0.6453793259784398
498	SIN3A 21632747 ChIP-Seq MESCs Mouse	0.15602166248798505	1.4815365357534032	2.752339935825926	CAST;SEC14L1;ARID5B;TXNIP;PDS5B;SNX30;PIK3AP1;JAK3;CNDP2;CORO1C	0.22901974955565677	0	0	ChEA_2022	pooled_ASD_up	SIN3A	0.640127064589342
499	VDR 20736230 ChIP-Seq LYMPHOBLASTOID Human	0.1589218887294385	1.7859501100513573	3.2849738747975934	HERC4;CDK6;ELOVL5;LY96;DUSP16	0.2328094201627646	0	0	ChEA_2022	pooled_ASD_up	VDR	0.632999450817954
500	PU.1 20513432 ChIP-Seq MACROPHAGES Mouse	0.1607949091645027	1.3651643611482969	2.495009310292076	RB1;HDAC4;PTPN1;TNFAIP8;NUFIP2;PTGES3;ANO6;SDCBP;FMNL2;SOAT1;P4HA1;REL;ATP13A3;CDC42SE2;GAS7	0.23508215719850295	0	0	ChEA_2022	pooled_ASD_up	PU.1	0.6287803326968437
501	GATA3 21867929 ChIP-Seq CD8 Mouse	0.16428311634193707	1.374558717196206	2.482678498893988	C1QA;FCGBP;STARD13;TNFAIP8;PTGES3;CLTC;TYMP;RAB20;HCLS1;CTNNB1;PPARG;PIK3AP1;CYTH1;C1QC	0.23970251106977244	0	0	ChEA_2022	pooled_ASD_up	GATA3	0.6203274163708782
502	SETDB1 19884257 ChIP-Seq MESCs Mouse	0.1646620793449598	1.3454605833625446	2.4270224055742236	FCGBP;FNDC3B;MITF;RBPJ;POU2F2;ELL2;CORO1C;SDCBP;RAB31;CDK6;P4HA1;GLB1;GNA12;PGK1;PDE8A;SKAP2	0.23977685259196338	0	0	ChEA_2022	pooled_ASD_up	SETDB1	0.6201927448268268
503	RBPJ 22232070 ChIP-Seq NCS Mouse	0.16538295333718497	5.78552669973738	10.411006495037405	HSPD1	0.24015605082695501	0	0	ChEA_2022	pooled_ASD_up	RBPJ	0.6195064666654417
504	ASH2L 23239880 ChIP-Seq MESCs Mouse	0.16557954803937802	1.2755774663490833	2.293875481999212	RB1;CAST;ITGB1;CEBPD;ACSL1;COG5;FNDC3B;ARID5B;NEDD9;RBPJ;CNDP2;MYO1E;KLF6;CDK6;FMNL2;P4HA1;SPP1;PAPOLA;PADI2;CTNNB1;PDE8A;HSPA1B;MPZL1;SKAP2	0.24015605082695501	0	0	ChEA_2022	pooled_ASD_up	ASH2L	0.6195064666654417
505	RBPJ 21746931 ChIP-Seq IB4-LCL Human	0.16922820578167327	1.3514588859416445	2.400876366867628	ELOVL5;NEDD9;DUSP16;HERC4;RAB31;PPME1;RGS1;SPP1;AAK1;PADI2;PHACTR2;TXNIP;ATP13A3;BCAT1;GPR155	0.24496201668594686	0	0	ChEA_2022	pooled_ASD_up	RBPJ	0.6109012512376936
506	SRY 25088423 ChIP-ChIP EMBRYONIC GONADS Mouse	0.1707794393841967	1.2693509836366978	2.2434285665598073	RB1;SRGN;ITGB1;PTPN1;UBE2D3;ARID5B;MSN;NEDD9;AGAP3;SNX30;PIAS2;CDC73;DNAJA1;HERC4;SNX1;RAB31;RAB20;HSPH1;SEC14L1;FAM20C;INTS6;BCAT1;JAK3;CYTH1	0.24671891341867155	0	0	ChEA_2022	pooled_ASD_up	SRY	0.6077975563128036
507	KDM5A 27292631 Chip-Seq BREAST Human	0.17187072092963532	1.4794360795086428	2.6053057356241363	HDAC4;SEC14L1;SOAT1;SNAP23;FAM20C;MGAT1;RBPJ;PDE8A;CDC73	0.24737387895488336	0	0	ChEA_2022	pooled_ASD_up	KDM5A	0.6066461609101004
508	POU2F1 27270436 ChIP-Seq LNCaP Human Prostate Carcinoma	0.17190961765948118	1.6393970189701896	2.886628006359928	VMP1;TNFAIP8;RALGAPA2;STAT3;FNDC3B;INTS6	0.24737387895488336	0	0	ChEA_2022	pooled_ASD_up	POU2F1	0.6066461609101004
509	SMAD 19615063 ChIP-ChIP OVARY Human	0.17279132809385747	2.7236624379481524	4.7818540898178	UBE2D3;MSN	0.24815414702673833	0	0	ChEA_2022	pooled_ASD_up	SMAD	0.6052784626960364
510	GATA3 20176728 ChIP-ChIP TSCs Mouse	0.17403891960684573	1.565132541876728	2.7365972010279895	PGS1;RAB31;SEC14L1;CLTC;STX6;ARID5B;PIAS2	0.2494557847698122	0	0	ChEA_2022	pooled_ASD_up	GATA3	0.6030064205102122
511	MNX1 26342078 ChIP-Seq MIN6-4N Mouse	0.1753915810541088	1.3418240374762114	2.335758990735997	ACSL1;SLC11A1;PTGES3;ARID5A;FNDC3B;ARID5B;POU2F2;GNA13;SOAT1;RGS1;GPBP1;UBQLN1;TAB2;MPZL1;RALGPS2	0.2509026335627271	0	0	ChEA_2022	pooled_ASD_up	MNX1	0.6004947801530757
512	YY1 22570637 ChIP-Seq MALME-3M Human	0.1794614202444452	1.4627018713150475	2.5126219949039914	PGS1;KLF6;AGTPBP1;TAOK3;SLC11A1;SNAP23;NEDD9;PHACTR2;MGAT1	0.2562232386693153	0	0	ChEA_2022	pooled_ASD_up	YY1	0.5913814836149063
513	FLI1 27457419 Chip-Seq LIVER Mouse	0.17985874559376544	1.8478979688238073	3.170223233339647	ARID5A;NCK2;LY96;HSPD1	0.2562899474250342	0	0	ChEA_2022	pooled_ASD_up	FLI1	0.5912684280079366
514	POU5F1 18555785 ChIP-Seq MESCs Mouse	0.18619221139612785	1.6853231675619478	2.8329873658954425	PPP1CB;CLTC;CTNNB1;RBPJ;PDE8A	0.2647986508376838	0	0	ChEA_2022	pooled_ASD_up	POU5F1	0.5770842319787192
515	SMAD3 21741376 ChIP-Seq ESCs Human	0.18741521662987654	1.3238632256198946	2.2167145981336907	ITGB1;PTPN1;AGTPBP1;KDM4C;NEDD9;PPP1CB;PGS1;HERC4;GNA12;CHST15;NUMB;DYM;FAM20C;CTNNB1;TAB2	0.2660204337018247	0	0	ChEA_2022	pooled_ASD_up	SMAD3	0.5750850028309178
