gene	logFC	logCPM	F	PValue	FDR	analysis	neglog10p	direction
PGS1	0.510182283659556	6.24395039199291	10.121550655335	0.0023884382976582	0.164353352535702	pooled_retained	2.62188597369513	NS
VAPA	0.473542169210282	7.1617000716355	10.0993819634789	0.00241285725391078	0.164353352535702	pooled_retained	2.61746837045451	NS
UBE2D3	0.442957530644743	8.14290448243299	10.0960202695076	0.00241658295732815	0.164353352535702	pooled_retained	2.61679829165216	NS
INTS6	0.432166147719321	7.47922426220996	10.1839188947215	0.00232111798590769	0.164353352535702	pooled_retained	2.63430278314326	NS
SNX1	0.402093155981547	7.35353905857491	10.0787158055222	0.00243585676432845	0.164353352535702	pooled_retained	2.61334825310431	NS
DYM	0.268473252750519	8.35841329749603	10.2262383642328	0.00227657243265875	0.164353352535702	pooled_retained	2.64271852738805	NS
RGS1	1.46264436565502	6.80611499264616	10.047279321034	0.00248954869960367	0.165201992812506	pooled_retained	2.60387937380215	NS
HDAC4	0.535450121795996	7.76795713861752	9.95946233178961	0.00257313909424043	0.168237888426367	pooled_retained	2.58953673682567	NS
CBWD2	0.63102575426886	6.35561594668668	9.88470117564498	0.00266331696962577	0.171610249955886	pooled_retained	2.57457714374975	NS
LY96	0.780101593457521	7.06373054470835	9.80905760446879	0.00277191441943611	0.173576500124126	pooled_retained	2.55722018233599	NS
RANBP2	0.484922385651338	7.71673674121414	9.80027451921207	0.00276914897883461	0.173576500124126	pooled_retained	2.55765367879927	NS
AP003481.1	-0.83245847109036	9.34034810004037	9.75313201012851	0.0028500744858884	0.175992099503608	pooled_retained	2.54514378968005	NS
PDE8A	0.433112653225964	7.8527809044287	9.63433093055337	0.00299021949997383	0.179655620228157	pooled_retained	2.52429693069613	NS
PDS5B	0.256970858076438	8.11239532044315	9.64088307368041	0.00298114876967911	0.179655620228157	pooled_retained	2.52561635062334	NS
RALGAPA2	0.445159636565681	8.45326652586136	9.57840906417878	0.00306882497212873	0.181919944347791	pooled_retained	2.51302788048519	NS
DDX60L	0.609393693446453	7.07659753853994	9.47644689145014	0.00321777521926042	0.185795176945868	pooled_retained	2.4924442972303	NS
FMNL2	0.592984511270546	10.1158462808455	9.50432793032928	0.003185370982473	0.185795176945868	pooled_retained	2.49683998051594	NS
NCK2	0.731920987992256	9.10505968643633	9.32134943975018	0.00348166091275943	0.186499571302752	pooled_retained	2.45821352813207	NS
MSN	0.570078970393672	7.63227115046919	9.37341496130446	0.00337601105244104	0.186499571302752	pooled_retained	2.47159614024357	NS
RB1	0.444133097090295	9.0473374676393	9.36008561646159	0.00339707082469968	0.186499571302752	pooled_retained	2.46889539853603	NS
NUBPL	-0.368343024017365	7.09147934047631	9.32202953626024	0.0034579597625019	0.186499571302752	pooled_retained	2.46118006456848	NS
MAPK9	-0.324300003852947	6.73976852741086	9.34178964493469	0.003426202353421	0.186499571302752	pooled_retained	2.46518699093883	NS
GPATCH2	-0.315738324543383	7.30460296932061	9.422377433608	0.00329982074345729	0.186499571302752	pooled_retained	2.48150965171055	NS
TNFRSF1B	0.698383438429732	8.01892334192288	9.25712568802491	0.00358337401216639	0.187608656247161	pooled_retained	2.4457078602841	NS
EXPH5	-0.610394632225617	6.19976290817267	9.23739551392672	0.00359751470711682	0.187608656247161	pooled_retained	2.44399742193434	NS
ARID5A	0.551603724923866	6.37137325155032	9.21880264290296	0.0036289573633054	0.187608656247161	pooled_retained	2.44021813430426	NS
HSPH1	1.46391792451139	8.40098683264717	9.10322058688673	0.00385507976199137	0.189731165463546	pooled_retained	2.41396663192318	NS
