p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.40876873086553e-17,2.12161677672531,0.526,0.331,1.68277612754688e-12,18,AFF3
3.44624219863064e-38,2.08063585629553,0.366,0.097,1.07219487283797e-33,18,RIPOR2
3.13830690077846e-30,1.84604042865647,0.263,0.063,9.76390042970196e-26,18,OSBPL10
1.26089480053431e-25,1.78033126688261,0.251,0.065,3.92289590342234e-21,18,SEL1L3
0,1.77191012320276,0.217,0.001,0,18,FCRL1
9.63777542178014e-101,1.66976907875684,0.28,0.025,2.99850468922424e-96,18,IGHM
0,1.56773064580106,0.2,0.002,0,18,PAX5
0,0.802886619930783,0.886,0.532,0,2,SRGAP2B
0,0.79183979883868,0.965,0.724,0,2,ARHGAP24
0,0.789799063557809,0.959,0.695,0,2,SRGAP2
0,0.755170141233082,0.965,0.697,0,2,APBB1IP
2.84851934402268e-232,0.739147976235866,0.853,0.608,8.86231338312335e-228,2,HS3ST4
1.72852907865304e-304,0.730418115469607,0.903,0.591,5.37779966950533e-300,2,MAML3
0,0.728307171909074,0.995,0.909,0,2,PLXDC2
0,0.720818431945941,0.795,0.418,0,2,SRGAP2C
0,0.717488597199368,0.679,0.327,0,2,BLNK
0,0.712194471086675,0.973,0.739,0,2,DOCK8
0,2.80012546655439,0.673,0.114,0,3,ST18
0,2.65673126779468,0.762,0.23,0,3,CTNNA3
0,2.51674661336308,0.671,0.161,0,3,RNF220
0,2.3624583441966,0.787,0.297,0,3,SLC24A2
0,2.13332869953641,0.561,0.078,0,3,KCNH8
0,2.12065641702234,0.522,0.095,0,3,MOBP
0,2.09755504597647,0.48,0.064,0,3,AC026316.5
0,1.99338929505688,0.55,0.097,0,3,TF
0,1.95564304009334,0.49,0.063,0,3,C10orf90
0,1.95352375662353,0.708,0.314,0,3,SLC44A1
0,2.90262540166507,0.741,0.256,0,4,GPC5
0,2.78374117237562,0.707,0.166,0,4,ADGRV1
0,2.55911584609712,0.714,0.334,0,4,SLC1A2
0,2.38378912263336,0.561,0.071,0,4,RNF219-AS1
0,2.0751687545072,0.587,0.135,0,4,NKAIN3
0,2.05482150736132,0.411,0.066,0,4,HPSE2
0,2.04022799135365,0.573,0.126,0,4,SLC4A4
0,1.88261713854514,0.598,0.163,0,4,RYR3
0,1.86783173399715,0.386,0.044,0,4,AC002429.2
0,1.8513815390659,0.338,0.042,0,4,ZNF98
0,3.50395332347311,0.478,0.036,0,5,F13A1
0,2.38850888242434,0.348,0.05,0,5,COLEC12
0,2.18411064911644,0.505,0.067,0,5,IQGAP2
0,2.16367948756427,0.489,0.138,0,5,NAMPT
0,2.09024088252029,0.278,0.05,0,5,SELENOP
0,1.99096436730158,0.749,0.282,0,5,DPYD
2.13508997608228e-239,1.69910193129811,0.332,0.086,6.6426919335872e-235,5,CD163
4.82466753245834e-91,1.69561444149257,0.255,0.101,1.50105056269844e-86,5,VCAN
0,1.64475882743333,0.42,0.101,0,5,KYNU
0,1.62764397593523,0.25,0.009,0,5,CR1
3.96004018957572e-10,0.570916905715702,0.239,0.172,1.2320477037808e-05,6,SV2B
4.07544039643542e-11,0.566273592998369,0.319,0.249,1.26795101613899e-06,6,CAMK2A
