gene	logFC	logCPM	F	PValue	FDR	analysis	neglog10p	direction
CENPP	-0.431348579508209	7.65231649863057	5.93186578931607	0.0177204321972394	0.341884428707641	cluster0	1.75152568997791	NS
NAALADL2	-0.487293645116028	8.64606639429438	5.88941629391908	0.0181191832698588	0.346968837839237	cluster0	1.74186138223247	NS
GAS7	0.605071366026897	7.48855369191586	5.85094986409566	0.0185244030043754	0.350110674236677	cluster0	1.73225577935853	NS
ZMAT1	-0.50210527122167	8.2327150992791	5.83199793790733	0.018663908670052	0.350110674236677	cluster0	1.72899739938519	NS
RASSF8	0.402521131788551	9.20270046493327	5.82270319659397	0.0187515575371872	0.350110674236677	cluster0	1.72696265317828	NS
ABI1	0.324342842712544	8.48734335938883	5.81476084441548	0.0188290230103903	0.350110674236677	cluster0	1.72517221382317	NS
CIRBP	-0.469869155122089	8.30279571761808	5.79793295305194	0.0189942775797214	0.350642563090397	cluster0	1.72137721956685	NS
PPARD	0.41410305247725	8.23114955915894	5.75947469528673	0.0193777551124239	0.352647656868651	cluster0	1.71269653681866	NS
CEP350	0.384823512062455	9.05629525084674	5.76056032910629	0.0193668179737222	0.352647656868651	cluster0	1.71294172930545	NS
ETNK1	0.363468874360348	8.10695148214951	5.74198999479916	0.0195548096521931	0.353363673010758	cluster0	1.70874640714241	NS
MFSD1	0.599380063178038	7.29185763673516	5.68929018294794	0.0201469958725599	0.36151882104188	cluster0	1.69578970253705	NS
FTL	0.985861288478376	9.4988645766518	5.58830052007012	0.0213464974961981	0.376012175245909	cluster0	1.67067337323187	NS
TLR2	0.82547509301297	8.32016997912814	5.58080415622495	0.0213943014754102	0.376012175245909	cluster0	1.66970188867653	NS
NFKB1	0.540056291796498	7.53533150322113	5.57419424899826	0.0213519665465022	0.376012175245909	cluster0	1.67056211965708	NS
KIRREL3	-0.647972793451906	7.40841379607267	5.53632431713137	0.02183938300653	0.381223515610585	cluster0	1.66075963522758	NS
CENPC	-0.37723888791762	7.18287041153379	5.51421182136616	0.022025145459543	0.381868400332348	cluster0	1.65708121471758	NS
SPATA6	0.679386502934718	8.4592840398265	5.40003332639185	0.0234750981093615	0.388626462894333	cluster0	1.62939258401328	NS
PLCB2	-0.531611900405441	7.92658767367934	5.46542637724195	0.0226186302659621	0.388626462894333	cluster0	1.645533698524	NS
ADAM9	0.386163888603439	7.58076094144337	5.43491794480541	0.0229612779284626	0.388626462894333	cluster0	1.63900394459136	NS
H2AFY	0.32528013123104	8.09573976872612	5.41066342200251	0.0232560110676093	0.388626462894333	cluster0	1.63346477455546	NS
CSF1R	-0.291542322521547	10.1744775864541	5.43989746304032	0.0229012618463898	0.388626462894333	cluster0	1.64014058762403	NS
PACS1	0.272610695927725	9.16096949772544	5.41694212954894	0.0231793299141155	0.388626462894333	cluster0	1.63489912310963	NS
NT5C2	0.24344377422586	8.12093696047225	5.39676099211826	0.0234267626180079	0.388626462894333	cluster0	1.6302877231093	NS
AC008050.1	-0.810866722622583	8.80657298762579	5.32623598279205	0.0244720840844666	0.398526473776837	cluster0	1.61132904381362	NS
BRINP2	-0.500205265263518	7.02977042637919	5.2498060189296	0.0253155943981389	0.398526473776837	cluster0	1.59661187112916	NS
GATAD2A	0.436282395986147	7.41488880054898	5.25924521813032	0.025189520628297	0.398526473776837	cluster0	1.59878009730801	NS
FAM49A	0.416367835377324	8.18872318949875	5.27341508872143	0.0250015170918467	0.398526473776837	cluster0	1.60203363754287	NS
SSH2	0.402686511142974	10.6303784499632	5.31394440497435	0.0244719902118279	0.398526473776837	cluster0	1.61133070973006	NS
RAP1GAP2	-0.383220267300997	8.32511844767204	5.29907690617868	0.0246648367762187	0.398526473776837	cluster0	1.60792175421044	NS
XPO1	0.38195452474903	8.33484128603103	5.2570291785248	0.0252190587031986	0.398526473776837	cluster0	1.59827112742336	NS
UBR2	0.289383569504821	8.04879570675639	5.2849736021621	0.0248492683081755	0.398526473776837	cluster0	1.60468639463287	NS
RASGEF1C	-0.512692832644942	10.4559126222086	5.22505331133754	0.0257135410182612	0.402322843005232	cluster0	1.5898381124354	NS
FNIP2	0.483330785410026	8.42213923044863	5.13923468840059	0.02685442783444	0.405958519693725	cluster0	1.57098409635095	NS
PPA2	0.414040305375773	7.68168471999828	5.18771161626638	0.0261619086859378	0.405958519693725	cluster0	1.5823305745094	NS
DEK	0.387399905161831	7.10646492374069	5.15018067267786	0.0266880296574902	0.405958519693725	cluster0	1.57368348842555	NS
CLASRP	0.353200773296717	7.32040622888883	5.11361018202391	0.027211560945955	0.405958519693725	cluster0	1.56524654492473	NS
METTL16	-0.345513238765411	7.00012711936876	5.14848594223903	0.0267120517968254	0.405958519693725	cluster0	1.5732927518208	NS
GRK3	0.344460846749507	8.7409779563713	5.14135199217932	0.02681342605885	0.405958519693725	cluster0	1.57164769092609	NS
ANO6	0.304601743425783	7.45929174402537	5.12898079088587	0.0269901969941358	0.405958519693725	cluster0	1.56879394563415	NS
TNRC6A	-0.250938356684917	8.87203814239501	5.27043974097287	0.0270633679401096	0.405958519693725	cluster0	1.56761815796794	NS
FAM157C	0.620020588140555	8.08502870331583	5.09579396355186	0.0275454968280138	0.406216924486686	cluster0	1.55994939000988	NS
RNF13	0.376123640472675	8.35346799032448	5.09331700705164	0.0275067919823685	0.406216924486686	cluster0	1.56056005685115	NS
BMT2	0.477693969315974	7.45572754936709	5.07426595718415	0.0277870663901375	0.407437784897673	cluster0	1.55615730129124	NS
YEATS2	0.419868461235247	7.270083835893	5.05436450583775	0.0280831118112909	0.409439005157798	cluster0	1.55155477091564	NS
FAM13A	0.429497545605019	8.69656276354074	5.00137566551192	0.0288879038878807	0.418793002125999	cluster0	1.53928396950758	NS
ATRNL1	-0.532308981649762	8.31404646641406	4.97140766590879	0.0294243420186497	0.421803696200308	cluster0	1.53129323998375	NS
OXSR1	0.347333321108516	7.13875533190177	4.96814383833147	0.0294051780419235	0.421803696200308	cluster0	1.53157618669585	NS
CACNB4	-0.488418094044097	7.58223192436925	4.9421514861771	0.0298205294753138	0.425108214631418	cluster0	1.525484649744	NS
SAMD4A	0.446191156864809	7.84600892879894	4.90529455105201	0.0304107432357913	0.427237916332471	cluster0	1.51697296560863	NS
PDE4D	-0.421641223171689	9.37139629118676	4.90185840044467	0.0304694227158388	0.427237916332471	cluster0	1.51613577399199	NS
GLB1	0.312921248039797	7.18521217163775	4.9143348153732	0.030263865282484	0.427237916332471	cluster0	1.51907560494304	NS
INPP4A	0.267581283322688	8.34241661747054	4.87038934978815	0.0309850493941922	0.432106721442919	cluster0	1.50884780719195	NS
KALRN	-0.576049604537389	8.13666290622711	4.84358627831529	0.0315128650371571	0.437091955055919	cluster0	1.50151211052756	NS
HSP90AA1	0.79576732934103	10.2729816399786	4.80148927964828	0.0323418687314263	0.438796258757071	cluster0	1.49023488992438	NS
SPATS2L	0.624704961227567	7.74835868459615	4.80493247779316	0.0321731258052857	0.438796258757071	cluster0	1.49250674282699	NS
ETV6	0.380761955407659	10.1122199482154	4.78206632126839	0.0324907596117862	0.438796258757071	cluster0	1.48824013502772	NS
SND1	0.377374890005029	8.4978928468528	4.79213431352975	0.0323152318109521	0.438796258757071	cluster0	1.49059272435043	NS
ARMH3	0.262397048685092	8.46508711423018	4.80925142719985	0.0320191353548425	0.438796258757071	cluster0	1.49459039995235	NS
NEGR1	-0.580819813857561	8.59405780336875	4.77499353980349	0.0326947104983235	0.439108123719267	cluster0	1.4855225038292	NS
AC074327.1	0.516323785408518	10.3932623363408	4.76583326442048	0.0328561027880356	0.439108123719267	cluster0	1.48338395149216	NS
SNX3	0.464059317054671	7.26816219646814	4.73294977333485	0.0333618428725313	0.441604686614207	cluster0	1.47674996740883	NS
SORCS1	-0.45926763744009	7.12062222199136	4.73154598413854	0.0333871041321731	0.441604686614207	cluster0	1.47642124832982	NS
ABHD3	0.792460036595164	8.15747859738226	4.71474913991286	0.0338642170619631	0.443344800923456	cluster0	1.47025896079584	NS
ETV5	-0.400466343343776	7.67092818953257	4.71143552702834	0.0337512528857371	0.443344800923456	cluster0	1.47171010101776	NS
TCF4	0.309787168992244	9.45118214943627	4.67414882215244	0.0344377376725976	0.448564643999418	cluster0	1.46296538650348	NS
ABCA1	0.58989571792194	7.80162061625385	4.38522490211074	0.0403801067866321	0.448735698965017	cluster0	1.39383253688362	NS
HS6ST3	-0.581178714687063	7.86028729940559	4.43771102779708	0.0392405582670948	0.448735698965017	cluster0	1.40626482263271	NS
TBC1D14	0.568312742774384	8.55549435193923	4.57735757077398	0.0363738271616892	0.448735698965017	cluster0	1.43921100117905	NS
