p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.86331347108364e-41,0.388888376456968,0.255,0.204,5.79714087123542e-37,0,EPSTI1
3.6235158630012e-107,0.388337738110484,0.701,0.647,1.12734825529693e-102,0,TBXAS1
2.98151352310347e-34,0.387002455947599,0.388,0.355,9.27608487307951e-30,0,PIK3R5
2.04417193249706e-43,0.386336558940718,0.219,0.167,6.35982771638484e-39,0,HINT1
1.29592316400236e-53,0.386040224148133,0.223,0.163,4.03187614784413e-49,0,HLA-B
1.72031920523312e-29,0.385388148678925,0.24,0.201,5.35225711132127e-25,0,CPVL
4.81096465905602e-65,0.385001412674812,0.571,0.539,1.49678732472551e-60,0,CAPZB
7.28834504423143e-42,0.38491060095792,0.313,0.262,2.26754991016128e-37,0,TUBB2A
2.33139579602637e-32,0.3844618045886,0.325,0.289,7.25343860059723e-28,0,ST8SIA4
3.9875713064239e-26,0.383437342939608,0.295,0.264,1.2406131848546e-21,0,LAPTM5
2.1683398520475e-35,0.383372280001148,0.239,0.194,6.74613894769017e-31,0,SLC22A17
1.76689359630823e-26,0.382423926266231,0.335,0.305,5.49715935683418e-22,0,ARHGAP6
1.23846308141359e-33,0.382334632626505,0.443,0.422,3.85310633889395e-29,0,BASP1
2.38148804278704e-146,0.382197564293241,0.836,0.782,7.40928559871905e-142,0,LDLRAD4
7.19888333110014e-29,0.382170020045676,0.402,0.384,2.23971658197188e-24,0,PLD3
7.30546985030899e-28,0.382003880690986,0.302,0.271,2.27287777982813e-23,0,LRMP
2.53286676950571e-107,0.381896536198831,0.679,0.615,7.88025509328618e-103,0,ZFHX3
2.32760882795014e-36,0.380893658528839,0.443,0.415,7.24165658551846e-32,0,FMNL3
1.0926514247514e-56,0.379967276787017,0.467,0.42,3.39945711268655e-52,0,SKAP2
1.5280428807512e-25,0.3781810107027,0.299,0.268,4.75404701059314e-21,0,HCK
7.09742357879517e-152,0.378110230445904,0.808,0.748,2.20815042383475e-147,0,EPB41L2
1.17914330861556e-31,0.377745784063708,0.125,0.088,3.66855066176472e-27,0,CD14
4.05623645217809e-170,0.377518383248253,0.904,0.84,1.26197628500165e-165,0,ITPR2
2.78925804364569e-46,0.377284406590269,0.43,0.392,8.67793962539046e-42,0,SUSD6
