Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
63	Calcitonin 16132288 mouse GSE60761 sample 3446	0.0420267129625154	2.7403508771929825	8.685404649149678	PRKCH;CALCR;RAP1A;BLNK;NPL	0.43227476190015846	0	0	Drug_Perturbations_from_GEO_down
64	VANADIUM PENTOXIDE 14814 human GSE5339 sample 3554	0.04404969352468584	3.1352171136653895	9.78951755526381	CX3CR1;CEBPB;BNC2;IL6ST	0.44419689415745023	0	0	Drug_Perturbations_from_GEO_down
65	Oprelvekin DB00038 human GSE8762 sample 3297	0.044556787222583744	3.1230916030534353	9.715909200915167	GPR34;PDK4;BLNK;IL13RA1	0.44419689415745023	0	0	Drug_Perturbations_from_GEO_down
66	sapphyrin PCI-2050 (2.5 &Icirc;&frac14;M) 9855235 human GSE6400 sample 3102	0.045580841940138075	3.0991161616161618	9.570900599658827	CEBPB;PDK4;PLA2G4A;RIN2	0.4475209935940829	0	0	Drug_Perturbations_from_GEO_down
67	cisplatin DB00515 human GSE47856 sample 3143	0.048198495259761734	3.0407372986369268	9.220815334999154	B3GNT5;PLA2G4A;DLEU2;ST6GALNAC3	0.4626958309099315	0	0	Drug_Perturbations_from_GEO_down
68	5-Fluorouracil 3385 mouse GSE1559 sample 3636	0.04926853755059455	3.017988929889299	9.085563881953998	WSB1;IFNGR1;ST8SIA4;TAB2	0.4626958309099315	0	0	Drug_Perturbations_from_GEO_down
69	Laccaic Acid 5355255 human GSE45804 sample 2490	0.04926853755059455	3.017988929889299	9.085563881953998	FAM49B;MAML2;B3GNT5;RIN2	0.4626958309099315	0	0	Drug_Perturbations_from_GEO_down
70	sunitinib 5329102 rat GSE6929 sample 2491	0.056775792459544956	2.5081714065113885	7.195053949317201	PTPRC;IFNGR1;GNB4;BLNK;PLXDC2	0.5255816216255019	0	0	Drug_Perturbations_from_GEO_down
71	VANADIUM PENTOXIDE 14814 human GSE5339 sample 3556	0.06161707400643849	2.4470543901519908	6.819490991524039	ZEB2;CEBPB;FAM13A;PELI1;GAB2	0.5507491635641428	0	0	Drug_Perturbations_from_GEO_down
72	Interferon beta-1a DB00060 human GSE26104 sample 3186	0.06239921613729638	3.4267346229584152	9.50645598260032	GPR34;ST6GALNAC3;TM6SF1	0.5507491635641428	0	0	Drug_Perturbations_from_GEO_down
73	imatinib DB00619 human GSE1418 sample 2521	0.06251168868145361	2.7786281179138324	7.7034733756297555	B4GALT1;BLNK;HCLS1;ETV6	0.5507491635641428	0	0	Drug_Perturbations_from_GEO_down
74	Heregulin 56310950 human GSE22288 sample 3215	0.06374411615325727	2.7595720720720722	7.596766336206329	SPRED1;DOCK8;MGAT4A;MAML3	0.5507491635641428	0	0	Drug_Perturbations_from_GEO_down
75	ethanol 702 human GSE44456 sample 3038	0.06374411615325727	2.7595720720720722	7.596766336206329	P2RY12;CX3CR1;DOCK8;PLD1	0.5507491635641428	0	0	Drug_Perturbations_from_GEO_down
76	bleomycin DB00290 human GSE3598 sample 3588	0.07140609752868274	2.6504329004329006	6.995478421649434	CALCR;GPR34;GAB2;TLR2	0.6041959085574768	0	0	Drug_Perturbations_from_GEO_down
