Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
84	bleomycin DB00290 mouse GSE2640 sample 2851	0.22730782257769314	1.856998292328126	2.7510503680858402	SPARCL1;NRCAM;CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
85	R1881 13766 human GSE22606 sample 3048	0.2365582097464298	1.817312157518343	2.6197662790003693	CNTNAP2;ZNF385B;CTNNA2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
86	etanercept DB00005 human GSE11903 sample 2608	0.2365582097464298	1.817312157518343	2.6197662790003693	PDE1A;PLP1;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
87	etanercept DB00005 human GSE11903 sample 2607	0.23921375551628352	1.8062778889059856	2.5836958321760046	PLP1;CLU;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
88	heroin 5462328 mouse GSE30305 sample 2668	0.255251241056829	1.7427433970112005	2.3797282378103737	NTRK2;SPARCL1;LRRC4C	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
89	formaldehyde 712 rat GSE7002 sample 3536	0.2565950461145708	1.737646640597227	2.363644499605171	PLP1;SPARCL1;PLCB1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
90	d-serine 71077 rat GSE10748 sample 3391	0.26467873688237786	1.707670802026909	2.2699017789558544	GPM6A;CADM1;SYT1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
91	PLX4032 DB05238 human GSE24862 sample 2570	0.2771996724711015	1.9606769537083126	2.515582241975174	LRRTM4;CNTN3	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
92	phenytoin DB00252 rat GSE2880 sample 3291	0.2771996724711015	1.9606769537083126	2.515582241975174	SPARCL1;MT3	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
93	PLX4032 DB05238 human GSE24862 sample 2567	0.2771996724711015	1.9606769537083126	2.515582241975174	PLP1;STXBP5L	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
94	formaldehyde 712 rat GSE7002 sample 3541	0.27822145691721784	1.6599071032060724	2.123582025779506	ROBO2;PLP1;SPARCL1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
95	doxycycline DB00254 human GSE11422 sample 2573	0.2920110215935288	1.8862700009581297	2.3219299603971795	PCDH9;FAM19A1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
96	etanercept DB00005 human GSE11903 sample 2606	0.29592797008806554	1.6016024501627062	1.9501739238409515	PLP1;CLU;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
97	abiraterone DB05812 human GSE49244 sample 3300	0.3012512383589752	1.8425388504025464	2.2106977973856403	FRMD5;CTNNA2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
98	formaldehyde 712 rat GSE7002 sample 3539	0.30862999576600053	1.808972237543666	2.126649731113863	PLP1;NCAM2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
99	irinotecan DB00762 rat GSE11722 sample 2769	0.30862999576600053	1.808972237543666	2.126649731113863	SPARCL1;CNTN3	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up
