Rank_candDown	Term_candDown	P_value_candDown	Z_score_candDown	Combined_score_candDown	Overlapping_genes_candDown	Adjusted_p_value_candDown	Old_p_value_candDown	Old_adjusted_p_value_candDown	Library_candDown	neglog10_adjP_down	neglog10_P_down	perturbagen_norm	Rank_refUp	Term_refUp	P_value_refUp	Z_score_refUp	Combined_score_refUp	Overlapping_genes_refUp	Adjusted_p_value_refUp	Old_p_value_refUp	Old_adjusted_p_value_refUp	Library_refUp	neglog10_adjP_up	neglog10_P_up	reversal_score	support_strength
58	angiotensin II 172198 mouse GSE29145 sample 3216	0.0002408750912709	4.251306620209059	35.41862197850681	PLSCR1;KLF6;RAB20;SCIN;CEBPD;AGO2;ARID5A;REL;HSPA1B;HSPA1A	0.003434546560019	0	0	Drug_Perturbations_from_GEO_down	2.464130591786519	3.618208107776128	angiotensin ii	48	angiotensin II 172198 mouse GSE29145 sample 3217	0.1843326928716625	1.8286969937818505	3.092350463808605	IGF1;VCL;ETV5;HCN1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.7343976323631706	2.861229200419611	2.4761194759964567
59	quercetin DB04216 mouse GSE4262 sample 3432	0.0002901974991581	4.148384353741497	33.78837830997222	RB1;GNA13;HSPH1;SCIN;CEBPD;ELOVL5;FAM129A;MSN;HSPA1B;HSPA1A	0.0040676835898941	0	0	Drug_Perturbations_from_GEO_down	2.390652836601644	3.537306334512046	quercetin db04216	90	quercetin DB04216 mouse GSE4262 sample 3432	0.297348849470179	1.5935441905846004	1.9327288797628088	LOXL3;CIRBP;NR1D2	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.5267337375740503	2.759852792708932	2.4026417208115816
60	citalopram DB00215 human GSE7036 sample 3292	0.0003320804124769	4.47746511095859	35.86509288688648	DNAJA1;ACSL1;PTGES3;GPBP1;HLA-B;NEAT1;HSPA1B;HSPA1A;DCAF6	0.0045771750186411	0	0	Drug_Perturbations_from_GEO_down	2.339402481023241	3.478756740192144	citalopram db00215	143	citalopram DB00215 human GSE7036 sample 3292	0.4155659797772785	1.2906016775642295	1.1332952481676934	PABPC4;MAN2B1;SRSF11	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.3813600130873152	2.721375246583721	2.3513913652331797
63	dexamethasone DB01234 rat GSE15563 sample 2713	0.0003581735225653	4.429153463105478	35.143087100611744	SRGN;VMP1;SDCBP;PLSCR1;VAPA;PTGES3;CLTC;TOP1;GPR155	0.004701738145421	0	0	Drug_Perturbations_from_GEO_down	2.3277415617626294	3.4459065218615943	dexamethasone db01234	117	dexamethasone DB01234 human GSE34313 sample 3169	0.3629140719913529	1.4110478113506886	1.4302228067701288	PRUNE2;ACSS1;EXPH5	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.4401961917065586	2.705463545046386	2.339730445972567
71	atorvastatin DB01076 human GSE2450 sample 2484	0.0006099210327188	4.564777092305902	33.789306552843094	SRGN;SDCBP;VAPA;PTGES3;MSN;B2M;HIF1A;HSPD1	0.0071042914656128	0	0	Drug_Perturbations_from_GEO_down	2.148479229195861	3.2147263900293326	atorvastatin db01076	7	atorvastatin DB01076 human GSE11393 sample 3401	0.0300462623157019	2.670081967213114	9.358682707595774	MEF2A;HDAC5;PID1;HTRA1;ZDHHC13;TBC1D9	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	1.522209545512362	2.591948006010188	2.160468113405799
65	methotrexate DB00563 human GSE11440 sample 2543	0.0004327018223416	3.933817594834544	30.46923351236409	DNAJA1;PLSCR1;HSPH1;PTGES3;HLA-B;TXNIP;TOP1;B2M;HSPA1B;DCAF6	0.0055052985704078	0	0	Drug_Perturbations_from_GEO_down	2.2592191228385743	3.363811275748265	methotrexate db00563	112	methotrexate DB00563 human GSE41831 sample 2601	0.3485935240814533	1.4473528541851524	1.525290957114756	COL18A1;WLS;PTGS1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.457680685160087	2.5911532517433007	2.271208007048512
68	EPZ004777 56962336 human GSE29828 sample 2650	0.0005568590502397	3.802498048399688	28.492872298713856	SRGN;DNAJA1;HSPH1;H2AFY;CHSY1;ACSL1;PTGES3;PGK1;MSN;HSPD1	0.0067723887433566	0	0	Drug_Perturbations_from_GEO_down	2.1692581208157478	3.2542547176620573	epz004777	67	EPZ004777 56962336 human GSE29828 sample 2650	0.236696086038994	1.8126327454058544	2.6119644486157445	FCGRT;MAN2B1;IGF1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.6258089234216611	2.492295372498981	2.181247005025685
66	nitric oxide 145068 human GSE13887 sample 3181	0.0005156756791534	3.56555776260662	26.99138821081321	DNAJA1;PLSCR1;GPBP1;HLA-B;NCK2;HCLS1;NEAT1;PARP9;B2M;HSPA1A;CDC42SE2	0.0064615725251502	0	0	Drug_Perturbations_from_GEO_down	2.189661776759294	3.287623350769972	nitric oxide	308	nitric oxide 145068 human GSE13887 sample 3181	0.697045953489592	0.8418330269738811	0.3038208562517724	PABPC4	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.1567385896364454	2.4746027516398814	2.201650660969232
69	diethylstilbestrol DB00255 rat GSE4028 sample 2717	0.0005801726885439	3.781444099378882	28.18002008769272	DNAJA1;DOCK11;SDCBP;HSPH1;VAPA;PTGES3;CLTC;TXNIP;CTNNB1;HSPD1	0.0069536639626938	0	0	Drug_Perturbations_from_GEO_down	2.1577863005198825	3.236442719335174	diethylstilbestrol db00255	184	diethylstilbestrol DB00255 rat GSE4028 sample 2717	0.4977552982939328	1.2057739557739555	0.8412042110708879	PABPC4;HTRA1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.3029841084827285	2.4599874277174565	2.1697751847298203
70	celecoxib DB00482 human GSE11237 sample 3296	0.0005921294104273	3.771002710027101	28.025282688683586	SCARB2;FCGBP;SPP1;PADI2;NEDD9;SHOC2;PPARG;NEAT1;HSPA1B;HSPA1A	0.0069955860346198	0	0	Drug_Perturbations_from_GEO_down	2.1551758979068483	3.2275833674451384	celecoxib db00482	177	Celecoxib DB00482 human GSE54657 sample 2501	0.4840771255990034	1.1572140484100617	0.8395715614569321	LRRC28;WDPCP;KIAA0825	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.3150854388646671	2.4558133246181915	2.167164782116786
72	coenzyme Q10 5281915 mouse GSE15129 sample 3454	0.0006635025945263	4.049875656258635	29.63690012029753	DNAJA1;HSPH1;ACSL1;WNK1;UBE2D3;TXNIP;HSPA1B;HSPA1A;HSPD1	0.0076210645232397	0	0	Drug_Perturbations_from_GEO_down	2.117984361432212	3.17815737455349	coenzyme q10	191	Coenzyme Q10 5281915 mouse GSE15129 sample 3452	0.5119302059796942	1.1734034919875629	0.7856722320766293	HTRA1;CIRBP	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.2907892445398549	2.4341989691658914	2.12997324564215
