cluster	lineage	anchor_score	support_score	total_score	n_anchor_genes_used	n_support_genes_used
12	opc	-0.169366730855212	0.0903543607347958	-0.10443645795771	3	3
13	opc	-0.311964651902368	-0.545111581145061	-0.370251384213042	3	3
14	opc	0.196157274357198	0.493524857301223	0.270499170093204	3	3
15	opc	-0.235459990480201	-0.252908746102854	-0.239822179385864	3	3
16	opc	-0.409374664367106	-0.130130456651879	-0.339563612438299	3	3
17	opc	-0.0795795993064803	-0.0193795351091236	-0.0645295832571411	3	3
18	opc	-0.265484521396095	-0.163363070193432	-0.239954158595429	3	3
0	pericyte	-0.446223980324269	-0.362850666500025	-0.425380651868208	2	4
1	pericyte	-0.0361421225327727	-0.272112550579105	-0.0951347295443558	2	4
2	pericyte	-0.555962882822575	-0.416743972785741	-0.521158155313366	2	4
3	pericyte	-0.371863771836508	-0.0216083792264991	-0.284299923684006	2	4
4	pericyte	0.238750312714642	-0.244639540640159	0.117902849375942	2	4
5	pericyte	-0.0866076607580298	-0.0172508687803771	-0.0692684627636166	2	4
6	pericyte	-0.198273762868634	-0.20131737270146	-0.19903466532684	2	4
7	pericyte	-0.588562779622885	-0.445150670422505	-0.55270975232279	2	4
8	pericyte	-0.341122177459687	0.0867969490163073	-0.234142395840688	2	4
9	pericyte	-0.617022860335017	-0.409291766150236	-0.565090086788822	2	4
10	pericyte	0.281271233891851	-0.158097830706539	0.171428967742253	2	4
11	pericyte	-0.515911761871365	-0.340799638978981	-0.472133731148269	2	4
12	pericyte	3.37268473916613	3.9348492416548	3.5132258647883	2	4
13	pericyte	-0.380213043505588	-0.242283850470566	-0.345730745246832	2	4
14	pericyte	0.196281951320969	0.0557869017571298	0.161158188930009	2	4
15	pericyte	-0.592288065548135	-0.433017998266303	-0.552470548727677	2	4
16	pericyte	0.787310574758106	-0.345958099978295	0.503993406074006	2	4
17	pericyte	0.546518822670509	-0.0129912479199024	0.406641305022907	2	4
18	pericyte	-0.692622765036742	-0.153318638321543	-0.557796733357943	2	4
0	erythroid	-0.12418146587915	0.0881324315965405	-0.0711029915102275	3	2
1	erythroid	-0.100097804853811	-0.281219852685865	-0.145378316811825	3	2
2	erythroid	-0.445570634297642	-0.222632691623549	-0.389836148629118	3	2
3	erythroid	-0.586353836494591	-0.203930009527089	-0.490747879752715	3	2
4	erythroid	-0.754404808014416	0.338354181838306	-0.481215060551235	3	2
5	erythroid	1.84631836461748	0.597001099277621	1.53398904828251	3	2
6	erythroid	0.0385333925918871	-0.494074717962233	-0.0946186350466429	3	2
7	erythroid	-0.493170337121465	-0.302312843171255	-0.445455963633913	3	2
8	erythroid	-0.79417453048022	-0.494074717962233	-0.719149577350723	3	2
9	erythroid	-1.07308526847881	-0.494074717962233	-0.928332630849664	3	2
10	erythroid	0.174470694965149	-0.401317647548381	0.0305236093367666	3	2
11	erythroid	2.24540406806693	3.1627453099663	2.47473937854177	3	2
12	erythroid	0.816691553301729	-0.494074717962233	0.488999985485739	3	2
13	erythroid	-0.113555930230764	-0.494074717962233	-0.208685627163631	3	2
14	erythroid	-0.675676812837835	-0.494074717962233	-0.630276289118935	3	2
15	erythroid	-0.721633306267396	-0.494074717962233	-0.664743659191105	3	2
16	erythroid	-0.146601559013459	1.67185248353747	0.308011951624273	3	2
17	erythroid	0.0353829660691127	-0.494074717962233	-0.0969814549387237	3	2
18	erythroid	0.871705254357271	-0.494074717962233	0.530260261277395	3	2
