gene	logFC_baseline	FDR_baseline	logFC_neuronal_filtered	FDR_neuronal_filtered	direction_same
AC139887.2	-0.0619121572667054	0.570986095566908	-0.0769391777688589	0.50106115226315	TRUE
AC244021.1	-0.496511225965204	3.43195968183022e-09	-0.520632980158194	6.27396951451736e-09	TRUE
AC244453.3	0.354060489571038	0.00442999706758015			
AC245297.3	0.0784217143832658	0.267371335136051	0.0731301032857403	0.334424993802441	TRUE
ACACA	-0.105482300951991	0.266098326260413	-0.111436064671481	0.240555041137277	TRUE
ACAP2	0.120139943715539	0.0187837357094432	0.106858891933498	0.0434504397289488	TRUE
ACBD3	0.117981858909085	0.299625684322725	0.13196633411708	0.277711329902298	TRUE
ACBD6	-0.00644618818218508	0.950285392598242	0.027920426950707	0.78374185859884	FALSE
ACER3	0.162006707034915	0.0204675337871022	0.143392041303257	0.0629386925930493	TRUE
ACIN1	-0.0451130046870382	0.619822155699274	-0.0628105388190454	0.46534670356848	TRUE
ACO2	-0.148192700069276	0.174684794104349			
ACSL3	0.00588236350808401	0.957912903906011	0.038495155606998	0.74912524453514	TRUE
ACSL4	0.0865838116215716	0.358508890519195	0.0796108305091795	0.419606572453023	TRUE
ACSM5	0.0265632687619251	0.867822295169708	0.0534804628148219	0.773853306281591	TRUE
ACSS1	0.11826385302046	0.285561707979187	0.142945448369469	0.183916380762393	TRUE
ACTB	-0.190262321194889	0.00749941912588482	-0.184077070863337	0.0156878647746315	TRUE
ACTG1	-0.217923181792002	0.00556665465556423	-0.236679407533173	0.00442749718282654	TRUE
ACTN4	-0.089624597531543	0.494041278208503	-0.0565905198076706	0.708165247327693	TRUE
ACTR2	0.120781464470445	0.0779947088916266	0.111654045794785	0.115302185547344	TRUE
ACTR3	0.19096566771924	0.00430052636127078	0.185590497369577	0.00853836222307719	TRUE
ACVR1	-0.0405888565355903	0.79418216812091	-0.0582613770490262	0.719280262097849	TRUE
ACVR2A	0.0074329704572991	0.963610093384759			
ACYP2	0.0779520179276521	0.311737581905757	0.0840364144654324	0.263267143666574	TRUE
ADA2	-0.00359839512864447	0.983555679538281	0.0497159706404144	0.760417570224529	FALSE
ADAM10	0.0559291454630699	0.355070509711958	0.0493920803350596	0.423602126105012	TRUE
ADAM17	0.178874704544714	0.0132969812352738	0.181591774132303	0.0162550367206547	TRUE
ADAM23	-0.458891407043608	0.00121627044517312			
ADAM28	0.126995753191231	0.00182520643805125	0.120262540485206	0.00430778055343313	TRUE
ADAM9	0.0750874100705962	0.441780556784213	0.0737904835718038	0.475607082827837	TRUE
ADAMTS10	-0.104063051333943	0.419519747262613	-0.141525215241797	0.280841647667822	TRUE
ADAMTSL2	-0.377925736336823	1.46545966254658e-05	-0.404120984457319	8.32910566327516e-06	TRUE
ADAP2	-0.0614257282613311	0.358383588548519	-0.0616131189792282	0.382378905446845	TRUE
ADAR	0.062145930505451	0.538184141619357	0.0385869635682542	0.724073093814797	TRUE
ADARB2	-0.724010562546394	1.65232170380386e-06	-0.756413929116216	4.23231254619784e-06	TRUE
ADCY2	-0.539900145774291	1.67068705962007e-05			
ADCY7	0.0611214398062406	0.435100171084806	0.0593737856589861	0.445463739273623	TRUE
ADD1	-0.00641828742372257	0.939720425368247	-0.00740755716589448	0.941623907543825	TRUE
ADGRB3	-0.464313133704751	7.78952946493539e-06	-0.476251565977167	3.06060248992604e-05	TRUE
ADGRG1	0.0205334703603225	0.845339197265418	0.00354067966613991	0.972130236101833	TRUE
ADGRL2	-0.652726240234213	1.64807233123873e-07			
ADGRL3	-0.700837768413143	5.52099901798905e-11	-0.735203723128396	9.00205693461908e-10	TRUE
ADIPOR2	-0.024133155057861	0.823974642122257	-0.0356894361071629	0.745288291939959	TRUE
ADK	-0.0123605630957856	0.870578922307908	0.00544315013023813	0.946176775350358	FALSE
ADNP	-0.0182166539257431	0.850206300779868	-0.0302591549670833	0.747017850871239	TRUE
ADPGK	0.185683853173438	0.0186554932955711	0.181349987523859	0.0279868478167307	TRUE
AEBP2	-0.0384987011922483	0.674034353742915	-0.0481467249032534	0.600185059377816	TRUE
AES	-0.271334611632128	0.0134900146182222	-0.292614304863649	0.019866879573543	TRUE
AF117829.1	0.0262569039818706	0.837805453975407	0.0313944213154204	0.80642870714856	TRUE
AFDN	-0.0945364700257777	0.391561703986492	-0.103794515010214	0.343952297388573	TRUE
AFF1	0.105728565603568	0.0407348211438426	0.102039569895249	0.0574436512478526	TRUE
AFF3	0.0870778598783252	0.475457368296587	0.110195165875692	0.388029791152834	TRUE
AFF4	-0.0154388623614223	0.867822295169708	-0.0416241429940159	0.643369921946819	TRUE
AFTPH	0.100814718769682	0.188777656371883	0.107173353028671	0.178570894999729	TRUE
AGAP1	-0.228159993119595	0.00633683211285217	-0.249135490555933	0.00586205798330421	TRUE
