gene	logFC_baseline	FDR_baseline	logFC_combined_filtered	FDR_combined_filtered	direction_same
UBE2B	0.0648262183646884	0.472543970098923	0.0726685169272434	0.470730491850102	TRUE
UBE2D2	-0.0919048905344023	0.223283701392369	-0.0702630607112098	0.401276564652064	TRUE
UBE2D3	0.106170807369263	0.159146423164192	0.0840059116773624	0.310055178951425	TRUE
UBE2E1	0.15858223275952	0.034330243388557	0.138071245211906	0.0880809443625619	TRUE
UBE2E2	0.0768801207004591	0.0498322247800229	0.0705452081010714	0.0967404280400252	TRUE
UBE2E3	-0.0106871444643598	0.914142564482236	0.0059842407646103	0.958491291717121	FALSE
UBE2G1	0.184474032361582	0.0243641743372193	0.184325324870842	0.028411155427192	TRUE
UBE2G2	0.0675635974169836	0.532193121468779	0.0884012870138549	0.42212037744998	TRUE
UBE2H	0.124911469252267	0.0608337529662593	0.095774870210715	0.20848754830212	TRUE
UBE2I	-0.172379319587526	0.131631845716078	-0.193860660099906	0.104932662605245	TRUE
UBE2K	0.0699066417597058	0.23142825327063	0.0765567005595638	0.214972379060259	TRUE
UBE2L3	0.0538097363307304	0.73017484430476	0.0702420741682628	0.651793238608849	TRUE
UBE2N	0.0342996341243957	0.798959086241973	0.0330569249804184	0.827275418879355	TRUE
UBE2O	0.0268800683710178	0.83796824796078	0.0383870018755214	0.780506100201569	TRUE
UBE2R2	-0.105597302151163	0.163329546425122	-0.0930605109995899	0.246930124686589	TRUE
UBE2V2	-0.130910852986787	0.258129774457773	-0.205612733828282	0.0648026214180043	TRUE
UBE2Z	-0.0389345861005682	0.791606810514044			
UBE3A	-0.0606892120845371	0.442296167757137	-0.0824042697166655	0.321379885385453	TRUE
UBE3C	0.128797860037149	0.078541846931142	0.116969479848952	0.13481507129938	TRUE
UBE3D	0.0816890705469908	0.485418404634877	0.0876697494991579	0.470658386210232	TRUE
UBE4A	0.0527831648000217	0.60952406608885	0.0240423866109897	0.840598750040188	TRUE
UBE4B	0.0710495686255525	0.422317042534381	0.0698285257246561	0.475593320739352	TRUE
UBL3	-0.0678415837908118	0.39296234617911	-0.0998827594951874	0.21244330385304	TRUE
UBN1	-0.0216670702574911	0.897950743666777			
UBN2	-0.00703541738346501	0.946915284803207	-0.0225566346423056	0.832712196977394	TRUE
UBP1	0.078873054679564	0.489794802207376	0.0838346592080878	0.502684437020745	TRUE
UBQLN1	0.0898412184281697	0.40433138730256	0.0432473233359748	0.733209651332316	TRUE
UBR1	0.116314695218626	0.188031660814011	0.0853132276154348	0.410077040859445	TRUE
UBR2	0.0755252948636611	0.310907277866566	0.0758629936118448	0.333625533639887	TRUE
